# Papervale Trees — AI-Readable Product Catalogue
# Northern Ireland's first UKISG Certified tree nursery
# 48 Old Newry Road, Rathfriland, Co. Down, BT34 5BQ
# Tel: 028 3085 0059 | Email: info@papervaletrees.com
# Delivering throughout the UK & Ireland | 2-3 Day Tracked Delivery
# EU Plant Passport: UK/NI 8943 | VAT Reg No. 326849373
# Last updated: June 2026

## About
Papervale Trees is Northern Ireland's first UKISG Certified tree nursery, supplying over 300 varieties
of home-grown, fully traceable trees to home gardeners, landscape architects, and commercial contractors
across the UK and Ireland. Container-grown stock available all year round. Bareroot/rootball November–March.

## Shop
URL: https://www.papervaletrees.com/shop.html
Availability list: https://www.papervaletrees.com/availability.html

## Product Catalogue (758 lines, 430 species pages)
Format: Code | Latin Name | Common Name | Pot Size | Height | Price (inc. VAT) | Stock

### ABIES
  16249 | ABIES alba | European Silver Fir | 3Ltr | 30-50cm | £24.00 | Stock: 45
  16220 | ABIES concolor | Colorado White Fir | 5Ltr | 40-60cm | £28.50 | Stock: 27
  12550 | ABIES concolor | Colorado White Fir | 7.5Ltr | 50-75cm | £34.50 | Stock: 3
  10735 | ABIES fraseri | Fraser Fir | 3Ltr | 75-100cm | £25.50 | Stock: 8
  11635 | ABIES grandis | Grand Fir | 3Ltr | 90-120cm | £24.00 | Stock: 15
  14389 | ABIES grandis | Grand Fir | 5Ltr | 100-125cm | £28.50 | Stock: 35
  12235 | ABIES koreana | Korean Fir | 3Ltr | 50-75cm | £24.00 | Stock: 58
  12538 | ABIES koreana | Korean Fir | 5Ltr | 50-75cm | £28.50 | Stock: 50
  15656 | ABIES koreana | Korean Fir | 7.5Ltr | 60-90cm | £34.50 | Stock: 1
  15657 | ABIES koreana | Korean Fir | 15Ltr | 75-100cm | £45.00 | Stock: 1
  10736 | ABIES lasiocarpa | Subalpine fir | 5Ltr | 30-50cm | £28.50 | Stock: 3
  12226 | ABIES nobilis | Noble Fir | 3Ltr | 20-40cm | £22.50 | Stock: 11
  16237 | ABIES nordmanniana | Nordmann Fir | 3Ltr | 40-60cm | £25.50 | Stock: 95
  10737 | ABIES nordmanniana | Nordmann Fir | 7.5Ltr | 50-75cm | £37.50 | Stock: 6
  11916 | ABIES nordmanniana | Nordmann Fir | 45Ltr | 120-150cm | £95.00 | Stock: 1
  14013 | ABIES nordmanniana | Nordmann Fir | 45Ltr | 150-175cm | £115.00 | Stock: 3
  12560 | ABIES pinsapo | Spanish Fir | 3Ltr | 20-40cm | £16.50 | Stock: 26
  10060 | ABIES pinsapo | Spanish Fir | 5Ltr | 30-50cm | £28.50 | Stock: 2

### ACACIA
  1158 | ACACIA dealbata | Blue Wattle | 3Ltr | 120-140cm | £34.50 | Stock: 10
  11483 | ACACIA melanoxylon | Australian Blackwood | 20Ltr | 250-300cm | £90.00 | Stock: 19

### ACER
  16263 | ACER buergerianum | Trident Maple | 5Ltr | 90-120cm | £34.50 | Stock: 11
  14388 | ACER campestre | Field Maple | 1Ltr | 75-100cm | £6.50 | Stock: 6
  11707 | ACER campestre | Field Maple | 3Ltr | 90-120cm | £18.00 | Stock: 35
  10945 | ACER campestre | Field Maple | 12Ltr | 300-350cm | £95.00 | Stock: 12
  13990 | ACER campestre | Field Maple | 35Ltr | 400-450cm | £195.00 | Stock: 14
  1149 | ACER campestre 'Elsrijk' | Dutch Field Maple | 12Ltr | 250-300cm | £75.00 | Stock: 9
  11830 | ACER campestre 'Queen Elizabeth' | Field Maple | 20Ltr | 300-350cm | £85.00 | Stock: 10
  11743 | ACER campestre 'Red Shine' | Field Maple | 7.5Ltr | 200-250cm | £45.00 | Stock: 7
  15631 | ACER campestre 'Red Shine' | Field Maple | 12Ltr | 250-300cm | £65.00 | Stock: 5
  11771 | ACER cappadocicum 'Aureum' | Golden Maple | 5Ltr | 125-150cm | £34.50 | Stock: 15
  11769 | ACER cappadocicum 'Rubrum' | Red Maple | 5Ltr | 125-150cm | £34.50 | Stock: 15
